claim_id	claim_text	evidence_snippet	target_search_query	target_url	target_url_clean
027_002	Fifteen years after he began in politics as Netanyahu’s chief of staff, Bennett, now the leader of a small right-wing party, publicly announced that he would form a national-unity government with Yair Lapid, the centrist leader of the opposition.	Yair Lapid (Hebrew: יָאִיר לַפִּיד‎, IPA: [jaˈʔiʁ laˈpid]; born 5 November 1963) is an Israeli politician and former journalist serving as the Alternate Prime Minister of Israel and Minister of Foreign Affairs since 2021.	yair lapid	https://en.wikipedia.org/wiki/yair_lapid	en.wikipedia.org/wiki/yair_lapid
027_009	Netanyahu didn’t become Israel’s longest-serving prime minister by mistake.	He served in office for a total of 15 years, making him the longest-serving Israeli prime minister in history.	binyamin netanyahu	https://en.wikipedia.org/wiki/benjamin_netanyahu	en.wikipedia.org/wiki/benjamin_netanyahu
006_004	Eight years ago Edward Snowden, a former contractor for the NSA, revealed that the agency had routinely been snooping on the electronic communications of hundreds of millions of people around the world, including Merkel and several other close allies of Obama.	Edward Joseph Snowden (born June 21, 1983) is a former computer intelligence consultant who leaked highly classified information from the National Security Agency (NSA) in 2013 when he was an employee and subcontractor.	edward snowden	https://en.wikipedia.org/wiki/edward_snowden	en.wikipedia.org/wiki/edward_snowden
006_010	“This is a way of expressing that we are certainly not happy about this situation,” Peter Hultqvist, 62, the Swedish defence minister, told DR.	Carl Anders Peter Hultqvist (born 31 December 1958) is a Swedish politician of the Social Democrats who has been serving as Minister for Defence in the Swedish Government since 3 October 2014.	peter hultqvist	https://en.wikipedia.org/wiki/peter_hultqvist	en.wikipedia.org/wiki/peter_hultqvist
006_026	However, Trine Bramsen, 40, the Danish defence minister, told DR:	Trine Bramsen (born 26 March 1981 in Svendborg) is a Danish politician of the Social Democrats, who has been a member of the Folketing since 2011. She is the current Minister of Defence.	Trine Bramsen	https://en.wikipedia.org/wiki/trine_bramsen	en.wikipedia.org/wiki/trine_bramsen
051_001	The remains were discovered at the Kamloops Indian Residential School, a church-run compulsory boarding school in British Columbia that closed in 1978.	The Kamloops Indian Residential School was part of the Canadian Indian residential school system. Located in Kamloops, British Columbia, it was once the largest residential school in Canada, with its enrolment peaking at 500 in the 1950s.[1][2]  The school was established in 1890 and in operation until 1969, when it was taken over by the federal government from the Catholic Church to be used as a day school residence. ^It closed in 1978.	Kamloops Indian Residential School	https://en.wikipedia.org/wiki/kamloops_indian_residential_school	en.wikipedia.org/wiki/kamloops_indian_residential_school
051_006	Rosanne Casimir, chief of the Tk’emlups te Secwepemc First Nation, said the discovery represented an “unthinkable loss” that was never documented by school administrators.	I am a strong Secwepemc Woman leading by example and am the 13th elected Kukpi7/Chief for Tk’emlúps te Secwépemc.	Rosanne Casimir chief of the Tk’emlups	https://tkemlups.ca/chief-council/kukpi7	tkemlups.ca/chief-council/kukpi7
051_008	“The sheer scale and magnitude of this is unspeakable,” Veldon Coburn, a professor at the University of Ottawa, told The Times .	Veldon Coburn is an Assistant Professor at the University of Ottawa's Institute of Indigenous Research and Studies.	Veldon Coburn, a professor at the University of Ottawa	https://theconversation.com/profiles/veldon-coburn-477373	theconversation.com/profiles/veldon-coburn-477373
007_014	Bennett, 49, is a former tech entrepreneur who started his political career as Netanyahu’s chief of staff in 2006.	Bennett entered politics in 2006, serving as Chief of Staff for Benjamin Netanyahu until 2008.	Naftali bennett	https://en.wikipedia.org/wiki/naftali_bennett	en.wikipedia.org/wiki/naftali_bennett
007_015	Like many other aspiring right-wing politicians, he fell foul of the prime minister and of his influential wife Sara, and split with Likud to form his own party, Yamina, in 2019.	After the Knesset dissolved and a second election in 2019 was called for September, the New Right formed an electoral alliance with the Jewish Home and National Union-Tkuma, named the United Right[57] which was later renamed Yamina, and was led by Ayelet Shaked.	Naftali bennett	https://en.wikipedia.org/wiki/naftali_bennett	en.wikipedia.org/wiki/naftali_bennett
008_001	The threat came after the country’s second coup d’état in nine months overshadowed Macron’s attempts to reset France’s relationship with Africa with a call for a “Marshall plan” for the continent.	 It is the country's third coup d'état in ten years, following the 2012 and 2020 military takeovers, with the latter having happened only nine months earlier.	malian coup	https://en.wikipedia.org/wiki/2021_malian_coup_d%27%c3%a9tat	en.wikipedia.org/wiki/2021_malian_coup_d%27%c3%a9tat
008_004	The turmoil is compounding the difficulties confronting the 5,100 French troops at the centre of international efforts to prevent jihadists establishing a base in the Sahel region from which to organise terrorist attacks across Africa, Europe and the rest of the world.	Operation Barkhane is an ongoing anti-insurgent operation that started on August 1, 2014, and is led by the French military against Islamist groups in Africa's Sahel region.[16] It consists of a roughly 5,000-strong French force, which is permanently headquartered in N’Djamena, the capital of Chad.	french troops in sahel 5100	https://www.aljazeera.com/news/2021/6/10/sahel-macron-announces-end-operation-barkhane-it-exists	aljazeera.com/news/2021/6/10/sahel-macron-announces-end-operation-barkhane-it-exists
008_007	France intervened in Mali in 2013 to prevent Islamist radicals marching on Bamako, the capital, and taking power from Ibrahim Boubacar Keita, who was the president.	Ibrahim Boubacar Keïta (French: [ibʁa.im bubakaʁ ke.ita]; born 29 January 1945), often known by his initials IBK, is a Malian politician who served as the president of Mali from September 2013 to August 2020, when he was forced to resign in the 2020 Malian coup d'état.	Boubacar Keita	https://en.wikipedia.org/wiki/ibrahim_boubacar_ke%c3%afta	en.wikipedia.org/wiki/ibrahim_boubacar_ke%c3%afta
008_008	Keita was deposed last year, however, and replaced by Bah Ndaw, a former defence minister.	Bah Ndaw (also spelled N'Daw, N'Dah, and N'Daou; born 23 August 1950) is a Malian military officer and politician who served as the president of Mali between 25 September 2020 and 24 May 2021 when he was overthrown during the 2021 Malian coup d'état. Between May 2014 and January 2015 he was Minister of Defense.	Bah Ndaw	https://en.wikipedia.org/wiki/bah_ndaw	en.wikipedia.org/wiki/bah_ndaw
008_010	This left Colonel Assimi Goita, a military strongman, in control of the country.	Colonel Assimi Goïta (born c. 1983) is the president of Mali.	Colonel Assimi Goita	https://en.wikipedia.org/wiki/assimi_go%c3%afta	en.wikipedia.org/wiki/assimi_go%c3%afta
008_012	The 15-member Economic Community of West African States was to discuss at the extraordinary meeting how to deal with the coup in Mali.	The Economic Community of West African States (ECOWAS; also known as CEDEAO in French) is a regional political and economic union of fifteen countries located in West Africa.	Economic Community of West African States	https://en.wikipedia.org/wiki/economic_community_of_west_african_states	en.wikipedia.org/wiki/economic_community_of_west_african_states
008_024	He broke a taboo in Rwanda by admitting that France bore some responsibility for the genocide that killed 800,000 people in 1994.	The most widely accepted scholarly estimates are around 500,000 to 800,000 Tutsi deaths.	rwandan genocide	https://en.wikipedia.org/wiki/rwandan_genocide	en.wikipedia.org/wiki/rwandan_genocide
028_001	Brahim Ghali, 71, who leads the Algerian-backed Polisario Front and is president of Sahrawi Arab Democratic Republic, a self-declared state since 1976, flew from Pamplona to Algeria, the Spanish government said.	Brahim Ghali (/ˈɡɑːli/) (Arabic: إبراهيم غالي‎; Spanish: Brahim Gali; born 16 September 1946) is a Sahrawi politician and military man and is the current president of the Sahrawi Arab Democratic Republic (SADR) and former SADR Ambassador to Algeria.	brahim ghali	https://en.wikipedia.org/wiki/brahim_ghali	en.wikipedia.org/wiki/brahim_ghali
028_003	Yesterday, Ghali appeared before the national court in Madrid in a war crimes case via a video link from a hospital in Logroño, in northern Spain, where he was admitted in April suffering from Covid-19.	Logroño (UK: /lɒˈɡrɒnjoʊ/, US: /ləˈɡroʊnjoʊ, loʊˈ-/,[2][3][4] Spanish: [loˈɣɾoɲo] (About this soundlisten)) is the capital of the province of La Rioja and situated in northern Spain.	logrono spain	https://en.wikipedia.org/wiki/logro%c3%b1o	en.wikipedia.org/wiki/logro%c3%b1o
028_004	Spain’s granting of sanctuary angered Morocco, which retaliated by standing down guards at the border with Ceuta, a Spanish city in north Africa, allowing about 10,000 people to surge in.	Ceuta (UK: /ˈsjuːtə/, US: /ˈseɪuːtə/,[3][4] Spanish: [ˈθewta]; Berber languages: Sebta; Arabic: سَبْتَة‎, romanized: Sabtah) is a Spanish autonomous city on the north coast of Africa.	ceuta	https://en.wikipedia.org/wiki/ceuta	en.wikipedia.org/wiki/ceuta
028_006	José Luis Abalos, Spain’s transport minister, said that Ghali had entered Spain on humanitarian grounds and he no longer needed that aid.	José Luis Ábalos Meco (born 9 December 1959) is a Spanish politician of the Spanish Socialist Workers' Party serving as Member of the Congress of Deputies since 2009. He has served as minister of Development (of Transport, Mobility and Urban Agenda since 2020) of the Government of Spain from 2018 to 2021, in the cabinets chaired by Pedro Sánchez.	jose luis abalos	https://en.wikipedia.org/wiki/jos%c3%a9_luis_%c3%81balos	en.wikipedia.org/wiki/jos%c3%a9_luis_%c3%81balos
028_009	Ghali faces two investigations in Spain, one linked to allegations of torture at Sahrawi refugee camps in Tindouf, a town in western Algeria.	The Sahrawi refugee camps (also romanized with Saharawi) in Tindouf, Algeria, are a collection of refugee camps set up in the Tindouf Province, Algeria in 1975–76 for Sahrawi refugees fleeing from Moroccan forces, who advanced through Western Sahara during the Western Sahara War.	Sahrawi refugee camps in Tindouf, a town in western Algeria	https://en.wikipedia.org/wiki/sahrawi_refugee_camps	en.wikipedia.org/wiki/sahrawi_refugee_camps
029_008	Here in Scotland, on the Isle of Islay, my family still use my mother’s prewar and much-spattered index card for this recipe, but it is filed under C — for Canadian Tart.	Islay (/ˈaɪlə/ (About this soundlisten) EYE-lə; Scottish Gaelic: Ìle, Scots: Ila) is the southernmost island of the Inner Hebrides of Scotland.	isle of islay	https://en.wikipedia.org/wiki/islay	en.wikipedia.org/wiki/islay
030_015	I think of Jill Furse, writing to her husband, the artist, Laurence Whistler, during the war.	She was married to Laurence Whistler. 	jill furse	https://www.imdb.com/name/nm0299091/bio	imdb.com/name/nm0299091/bio
010_006	A group of 20 people who had already left the racecourse ran to take shelter from the downpour when lightning struck eight of them and two were killed.	A group of 20 people who had already left the Downs, ran to take shelter against the wall of the reservoir on Banstead Downs, eight of them were struck by lightning	derby day thunderstorm 1911	https://eehe.org.uk/?p=25288	eehe.org.uk/?p=25288
011_002	Each required repair, restoration and reconstruction and the skills and knowledge of the stone and wood carver Dick Reid.	Internationally-renowned York sculptor and stone carver Dick Reid	dick reid stone carver	https://www.yorkpress.co.uk/news/19019918.obituary-dick-reid-obe-carver-wood-stone	yorkpress.co.uk/news/19019918.obituary-dick-reid-obe-carver-wood-stone
011_003	So busy was his workload that by the time Windsor Castle caught alight in 1992 someone was heard to quip: “Has Reid started another fire?”	On 20 November 1992, a fire broke out in Windsor Castle, the largest inhabited castle in the world and one of the official residences of Queen Elizabeth II.	windsor castle fire	https://en.wikipedia.org/wiki/1992_windsor_castle_fire	en.wikipedia.org/wiki/1992_windsor_castle_fire
011_009	Perhaps one of his largest projects was the restoration of Spencer House, the 18th-century mansion in St James’s, London.	The missing carved architectural detail, including the elaborate chimneypieces, was replicated by Dick Reid, the York-based master carver, and his team of craftsmen.	spencer house restoration	https://www.spencerhouse.co.uk/history/restoration	spencerhouse.co.uk/history/restoration
011_011	In the mid-1980s Lord Rothschild secured the house with a long lease and set about returning the interiors to the way they were.	In 1986, RIT Capital Partners, the family company of Jacob Rothschild, 4th Baron Rothschild, secured a 96-year lease (with an additional 24-year option).	spencer house lord rothschild	https://en.wikipedia.org/wiki/spencer_house,_london	en.wikipedia.org/wiki/spencer_house,_london
011_016	Dick Reid was born in Newcastle in 1934.	Dick Reid was born in 1934 in Newcastle upon Tyne	dick reid date of birth	https://www.stonespecialist.com/news/market-intelligence/obituary-dr-dick-reid-obe	stonespecialist.com/news/market-intelligence/obituary-dr-dick-reid-obe
011_021	It caught the eye of Newcastle’s architectural wood carver and sculptor Roger Hedley, who offered Dick a five-year apprenticeship — to the chagrin of his parents, who saw carving as a “dead profession”.	Hedley offered Dick an apprenticeship in his studio as a carver in stone and wood.	dick reid roger hedley apprenticeship	https://www.stonespecialist.com/news/market-intelligence/obituary-dr-dick-reid-obe	stonespecialist.com/news/market-intelligence/obituary-dr-dick-reid-obe
011_029	Yet in his thirties he was introduced through the Yorkshire architect Francis Johnson to the Dean of York, Eric Milner-White, which led to wood-carving commissions in medieval churches.	From 1941 to 1963, he was the Dean of York in the Church of England.	eric milner-white	https://en.wikipedia.org/wiki/eric_milner-white	en.wikipedia.org/wiki/eric_milner-white
011_032	When in 1986 the Prince of Wales started an Institute of Architecture on the edge of Regent’s Park in London, Dick was the obvious choice to teach ornament, which he did for ten years and became a trustee.	The Prince's Foundation (formerly The Prince of Wales's Institute of Architecture until 2001, The Prince's Foundation for the Built Environment until 2012, and The Prince's Foundation for Building Community until 2018) is an educational charity established in 1986 by Charles, Prince of Wales to teach and demonstrate in practice those principles of traditional urban design and architecture which put people and the communities of which they are part at the centre of the design process.  	1986 the Prince of Wales started an Institute of Architecture	https://en.wikipedia.org/wiki/the_prince%27s_foundation	en.wikipedia.org/wiki/the_prince%27s_foundation
011_038	Asked to recreate a plasterwork ceiling for the 18th-century hunting lodge of Chatelherault Country Park in South Lanarkshire, he was given one black and white photograph from a 1930s copy of Country Life .	Chatelherault Country Park is a country park in Hamilton, South Lanarkshire, Scotland.	Chatelherault Country Park in South Lanarkshire	https://en.wikipedia.org/wiki/chatelherault_country_park	en.wikipedia.org/wiki/chatelherault_country_park
031_009	It was followed by a self-portrait, made by looking in a tiny shaving mirror, that was later bought by Terry Jones of Monty Python fame.	Terence Graham Parry Jones (1 February 1942 – 21 January 2020)[1][2][3] was a Welsh actor, author, comedian, director, historian, poet, presenter, writer, and member of the Monty Python comedy team.	terry jones monty python	https://en.wikipedia.org/wiki/terry_jones	en.wikipedia.org/wiki/terry_jones
031_010	Marr joined Bomberg, who taught at Borough Polytechnic, and became a founding member of the Borough Group of artists that formed around the older man.	BOROUGH: BOMBERG AND HIS STUDENTS AT THE BOROUGH POLYTECHNIC	bomberg borough polytechnic	https://criticscircle.org.uk/borough-bomberg-students-borough-polytechnic-waterhouse-dodd-london	criticscircle.org.uk/borough-bomberg-students-borough-polytechnic-waterhouse-dodd-london
031_011	In 1948 he married Mendelson and adopted her daughter Juliet.	In 1948, Marr married artist Dinora Mendelson (1924–2010), daughter of London art dealer Jacob Mendelson and artist Lilian Holt; Lilian's second husband was Marr's former teacher David Bomberg.	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_024	He raced in two Formula One championship grands prix in 1954 and 1955, finishing 13th in the former and dropping out of the latter with a damaged brake pipe.	Racing in his private Connaught, he finished in 13th place, but retired from his last world championship race in 1955, after a damaged brake pipe caused him to spin off.	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_025	He fared better with a win at Davidstow, Cornwall, in 1954 and a fourth place in the New Zealand grand prix in January 1956.	Marr competed in several non-Championship races, with his best results including winning the 1955 Cornwall MRC Formula 1 Race and finishing fourth in the 1956 New Zealand Grand Prix.	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_033	Leslie Lynn Marr was born in Durham in 1922, the only child of Colonel John Marr OBE, a Flanders veteran, and his wife Amelia (née Thompson), known as May, an excellent markswoman and a pioneering motorist.	"Marr was born in Durham, England, the son of Lieutenant Colonel and brevet Colonel John Lynn Marr (1877–1931), OBE, TD, of the Royal Garrison Artillery, director of two shipbuilding firms and of the Sunderland Forge and Engineering Company,[1] and Amelia Rachel (1884–1971; known as ""May""),[2] daughter of Robert Thompson, of Over Dinsdale Hall, County Durham, a shipbuilder."	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_037	He was sent to board at Lime House preparatory school near Carlisle, where in 1931 he learnt that his 53-year-old father had died from pneumonia.	The school campus is situated in a beautiful countryside estate about 7 miles south of Carlisle and on the northern edge of the Lake District National Park.	Lime House preparatory school near Carlisle	https://www.limehouseschool.co.uk/location	limehouseschool.co.uk/location
031_058	In 1961 he returned to New Zealand, to a remote area by Lake McKerrow.	Lake McKerrow / Whakatipu Waitai lies at the northern end of Fiordland, in the southwest of New Zealand's South Island.	New Zealand Lake McKerrow.	https://en.wikipedia.org/wiki/lake_mckerrow_/_whakatipu_waitai	en.wikipedia.org/wiki/lake_mckerrow_/_whakatipu_waitai
031_060	His first marriage had been formally dissolved in 1956 and in 1962 he married Lynn Moynihan, who he had met when she was working for his motor-racing mechanic.	In 1962, Marr married Lynn Moynihan; they had two daughters, the elder of whom predeceased him. 	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_061	They had two daughters, Joanne, a luxury-yacht broker in the south of France, and Rebecca, a chef who died from breast cancer in 2016.	In 1962, Marr married Lynn Moynihan; they had two daughters, the elder of whom predeceased him. 	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_064	They were married in 2002 and she survives him.	His third wife was Maureen Monk.[21] Marr died in Gimingham, Norfolk in May 2021 at the age of 98, survived by his widow, daughter, and three grandchildren.	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_069	Sir Leslie Marr, Bt, artist and racing driver, was born on August 14, 1922.	Sir Leslie Lynn Marr of Sunderland, 2nd Baronet (14 August 1922 – 4 May 2021) was a British landscape artist, painter and racing driver.	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
031_070	He died on May 4, 2021, aged 98	Sir Leslie Lynn Marr of Sunderland, 2nd Baronet (14 August 1922 – 4 May 2021) was a British landscape artist, painter and racing driver.	sir leslie marr	https://en.wikipedia.org/wiki/leslie_marr	en.wikipedia.org/wiki/leslie_marr
032_000	It was helpful for the lawyer Philip White to attend the annual week-long retreats at Ampleforth Abbey and soak up the peace of the North Yorkshire location.	Ampleforth Abbey is a monastery of Benedictine Monks a mile to the east of Ampleforth, North Yorkshire, England, part of the English Benedictine Congregation.	ampleforth abbey	https://en.wikipedia.org/wiki/ampleforth_abbey	en.wikipedia.org/wiki/ampleforth_abbey
032_003	His weekends were then taken up with christenings, weddings and funerals and he often gave the Homily at Mass. In 2012 Philip became chancellor of the Shrewsbury diocese, an unpaid post that drew on his experience as a lawyer.	Deacon Philip was appointed Chancellor of the Diocese in 2013, a position he held until his diagnosis with cancer in 2019.	philip chancellor of the Shrewsbury diocese	http://www.dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white	dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white
032_010	A bright child with a gift for languages, Philip went to St Mary’s College in Crosby and achieved one of the highest marks in the country for Spanish A-level.	Deacon Philip, a solicitor and canon lawyer, was born in Ormskirk, Lancashire, and was educated at St Mary’s College, Crosby, Liverpool, before studying Classics at Bristol University.	deacon philip st mary's college crosby	https://www.dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white	dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white
032_011	It won him a scholarship to Bristol University to read Ancient Greek and Latin and for a year after university he taught Latin at Saint Brendan’s Sixth Form College in Bristol.	Deacon Philip, a solicitor and canon lawyer, was born in Ormskirk, Lancashire, and was educated at St Mary’s College, Crosby, Liverpool, before studying Classics at Bristol University.	deacon philip bristol university	http://www.dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white	dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white
032_015	There he would remain for the next 31 years, overseeing its public benefit guidance which remains in place today.	He worked for the Charity Commission for 31 years and in retirement trained as a canon lawyer at the University of Leuven, Belgium.	deacon philip white	https://dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white	dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white
032_018	In 1980 he married Sara Patten, whom he met through her uncle, Tony Patten, a colleague at Saint Brendan’s.	In 1980, he married Sara and he was ordained to the permanent diaconate in 1990, serving in the parishes of St Mary’s, Highfield Road, Liverpool, and Holy Name, Oxton, Birkenhead.	deacon philip white	https://dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white	dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white
032_021	When Philip retired he took a degree of licentiate in canon law at Leuven University in Belgium.	He worked for the Charity Commission for 31 years and in retirement trained as a canon lawyer at the University of Leuven, Belgium.	deacon philip white	https://dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white	dioceseofshrewsbury.org/news/diocese-bids-farewell-to-canon-brendan-hoban-and-deacon-philip-white
052_003	Primo Levi lived with his wife and young children in the apartment, where he had been born in 1919.	Levi was born in 1919 in Turin, Italy, at Corso Re Umberto 75, into a liberal Jewish family.	Primo Levi	https://en.wikipedia.org/wiki/primo_levi	en.wikipedia.org/wiki/primo_levi
052_005	Stuart Woolf, like Levi a secular Jew, was doing a doctorate at the University of Oxford and had arrived in Turin in 1956.	From Oxford, where he took a PhD in 1960, he went to Pembroke College, Cambridge, to be a fellow and assistant director of studies, and in 1965 he took up a position at the University of Reading.	stuart woolf doctorate oxford	https://life.eui.eu/in-memoriam-stuart-woolf.html	life.eui.eu/in-memoriam-stuart-woolf
052_007	The Debenedettis introduced Woolf to Levi, the author of Se questo è un uomo ( If This is a Man ), a searing account of the 11 months he had spent as a prisoner of the Germans.	If This Is a Man (Italian: Se questo è un uomo Italian pronunciation: [se kˈkwesto ˌɛ un ˈwɔːmo]; United States title: Survival in Auschwitz) is a memoir by Italian Jewish writer Primo Levi, first published in 1947.	Levi, the author of Se questo è un uomo( If This is a Man),	https://en.wikipedia.org/wiki/if_this_is_a_man	en.wikipedia.org/wiki/if_this_is_a_man
052_008	Levi had written it in 1947, immediately after his return to Italy.	If This Is a Man (Italian: Se questo è un uomo Italian pronunciation: [se kˈkwesto ˌɛ un ˈwɔːmo]; United States title: Survival in Auschwitz) is a memoir by Italian Jewish writer Primo Levi, first published in 1947.	Levi, the author of Se questo è un uomo( If This is a Man),	https://en.wikipedia.org/wiki/if_this_is_a_man	en.wikipedia.org/wiki/if_this_is_a_man
052_024	Once Levi even suggested a phrase from the 1611 King James Bible.	The King James Version (KJV), also known as the King James Bible (KJB), and the Authorized Version is an English translation of the Christian Bible for the Church of England, commissioned in 1604 and completed as well as published seven years later in 1611 under the sponsorship of James VI and I.	1611 King James Bible.	https://en.wikipedia.org/wiki/king_james_version	en.wikipedia.org/wiki/king_james_version
052_026	His translation appeared in 1959 and brought to English-speaking readers a new understanding of the depravity of the Holocaust as well as a remarkable insight into one man’s ability to survive such an ordeal.	An English translation by Stuart Woolf was published in 1959.	Levi, the author of Se questo è un uomo( If This is a Man),	https://en.wikipedia.org/wiki/if_this_is_a_man	en.wikipedia.org/wiki/if_this_is_a_man
052_030	Fifty years later a three-volume Complete Works of Primo Levi was published, edited by Ann Goldstein, for which Woolf revised his translation of If This is a Man and contributed an afterword describing his encounters with Levi in Turin.	In 2015, a three-volume publication of the complete works of Primo Levi came out, edited by Goldstein.	Ann Goldstein	https://en.wikipedia.org/wiki/ann_goldstein_(translator)	en.wikipedia.org/wiki/ann_goldstein_(translator)
052_034	Stuart Joseph Woolf was born in London in 1936, the youngest of three sons of a “moderately orthodox” Jewish couple:	Born in London in 1936, he was educated at St. Marylebone Grammar School and Oxford University. 	stuart woolf born london 1936	https://www.eui.eu/news-hub?id=remembering-stuart-woolf	eui.eu/news-hub?id=remembering-stuart-woolf
052_037	They moved into a flat in Maida Vale and Stuart was educated at St Marylebone Grammar School, where Thomas Derry, a historian of Scandinavia, taught him Swedish, “now long forgotten” as he wrote recently, and helped him to obtain a scholarship to Merton College, Oxford.	Born in London in 1936, he was educated at St. Marylebone Grammar School and Oxford University. 	stuart woolf born london 1936	https://www.eui.eu/news-hub?id=remembering-stuart-woolf	eui.eu/news-hub?id=remembering-stuart-woolf
052_046	Anna Debenedetti married him in 1959 with Levi as his best man.	In 1959 he married an Italian, Anna de Benedetti, and they had an Anglo-Italian daughter, Deborah, who was born in 1963.	stuart woolf born london 1936	https://www.eui.eu/news-hub?id=remembering-stuart-woolf	eui.eu/news-hub?id=remembering-stuart-woolf
052_047	She survives him with their daughter Deborah, who is an academic and acupuncturist.	In 1959 he married an Italian, Anna de Benedetti, and they had an Anglo-Italian daughter, Deborah, who was born in 1963.	stuart woolf born london 1936	https://www.eui.eu/news-hub?id=remembering-stuart-woolf	eui.eu/news-hub?id=remembering-stuart-woolf
052_053	By then he had published several works including A History of Italy (1973) in both Italian and English.	A History of Italy 1700-1860	stuart joseph woolf	https://en.wikipedia.org/wiki/stuart_woolf	en.wikipedia.org/wiki/stuart_woolf
052_054	He became a professor in the history department at the University of Essex in 1975.	Stuart was appointed professor at Essex in 1974, remarking that the number of languages spoken in the Department as he walked its corridors immediately made him feel at home. 	stuart woolf professor history essex	https://www.essex.ac.uk/news/2021/05/19/tribute-stuart-woolf	essex.ac.uk/news/2021/05/19/tribute-stuart-woolf
052_059	Retiring in 2011, he devoted time to his garden in Settignano near Florence, singing in a choir and going for long walks, having been a keen mountain climber.	Settignano is a frazione on a hillside northeast of Florence, Italy.	Settignano near Florence	https://en.wikipedia.org/wiki/settignano	en.wikipedia.org/wiki/settignano
052_062	Professor Stuart Woolf, historian and translator, was born on January 23, 1936.	Stuart Joseph Woolf (23 January 1936 – 1 May 2021) was an English-Italian historian.	stuart joseph woolf	https://en.wikipedia.org/wiki/stuart_woolf	en.wikipedia.org/wiki/stuart_woolf
052_063	He died of pneumonia on May 1, 2021, aged 85	Stuart Joseph Woolf (23 January 1936 – 1 May 2021) was an English-Italian historian .	stuart joseph woolf	https://en.wikipedia.org/wiki/stuart_woolf	en.wikipedia.org/wiki/stuart_woolf
012_005	Until Henry became one of the United States’ dominant political figures under Nixon and Gerald Ford, his sibling was enjoying a successful career away from the spotlight.	Henry Alfred Kissinger (German:[ˈkɪsɪŋɐ]; born Heinz Alfred Kissinger; May 27, 1923) is an American politician, diplomat, and geopolitical consultant who served as United States Secretary of State and National Security Advisor under the presidential administrations of Richard Nixon and Gerald Ford.	henry kissinger	https://en.wikipedia.org/wiki/henry_kissinger	en.wikipedia.org/wiki/henry_kissinger
012_009	In 1969, the year Henry became national security adviser, Walter joined the Allen Group, an automotive parts and mobile communications systems conglomerate.	A Jewish refugee who fled Nazi Germany with his family in 1938, he became National Security Advisor in 1969 and U.S. Secretary of State in 1973.	henry kissinger	https://en.wikipedia.org/wiki/henry_kissinger	en.wikipedia.org/wiki/henry_kissinger
012_017	A year younger than his brother, Walter Bernhard Kissinger was born in Fürth, near Nuremberg, in 1924, to Louis, a teacher, and Paula (née Stern), the daughter of a cattle trader.	Walter Bernhard Kissinger was born on June 21, 1924, in Fürth, Germany, in northern Bavaria, just 13 months after Henry, who went on to become the most influential American secretary of state of the post-World War II era.	walter kissinger	https://www.nytimes.com/2021/05/27/business/walter-kissinger-dead.html	nytimes.com/2021/05/27/business/walter-kissinger-dead
012_023	The refugee family arrived in New York via London in 1938 and settled in Washington Heights.	Paula Kissinger arranged for the family to escape Germany in 1938. When Walter was 14 and Henry was 15, they fled, first to London and then to New York. They settled in the Washington Heights section of Manhattan, at the time a haven for Jewish refugees from Germany.	walter kissinger	https://www.nytimes.com/2021/05/27/business/walter-kissinger-dead.html	nytimes.com/2021/05/27/business/walter-kissinger-dead
012_025	Walter was sent to the Pacific while Henry was posted to Europe.	When World War II broke out, both brothers joined the Army. Henry went to the European theater and Walter to the Pacific	walter kissinger	https://www.nytimes.com/2021/05/27/business/walter-kissinger-dead.html	nytimes.com/2021/05/27/business/walter-kissinger-dead
